Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
SCN2A,7.40E-05,4,2,0,0,0,5,4,26,5,5,615476690,1596280319,2.55E-08,9.81E-09,2.67E-07
SYNGAP1,6.55E-05,6,0,0,0,0,1,3,6,4,2,231597074.5,127675314.5,4.66E-08,6.63E-08,2.67E-07
CHD8,9.25E-05,3,4,0,0,0,2,7,29,4,2,63502.30066,484952.7916,8.62E-05,1.08E-05,2.67E-07
ARID1B,9.02E-05,4,0,0,0,0,1,5,35,5,8,290115.6739,162474.6284,1.80E-05,3.22E-05,2.67E-07
ANK2,0.00014923,3,3,4,2,0,2,24,89,21,17,29180.0818,83588.24342,0.000150571,6.32E-05,2.67E-07
SUV420H1,3.48E-05,3,0,0,0,0,2,1,5,0,1,146213.2326,80659.67393,4.03E-05,8.51E-05,2.67E-07
DYRK1A,3.12E-05,4,0,0,0,0,0,2,8,0,6,143048.399,79189.11379,5.41E-05,0.000101177,2.67E-07
GRIN2B,7.30E-05,3,3,1,0,0,0,3,10,0,5,3811.647471,11552.4315,0.001023654,0.000257817,2.67E-07
ADNP,3.92E-05,3,1,0,0,0,0,3,2,0,0,5701.346443,8895.586797,0.000682573,0.000424513,2.67E-07
TBR1,3.55E-05,2,0,0,0,1,2,2,5,1,3,6654.38576,4778.048918,0.00042535,0.000708878,2.67E-07
POGZ,5.66E-05,2,4,0,0,0,0,5,24,6,7,214.2488437,1636.170245,0.022804814,0.001506652,1.07E-06
CUL3,2.98E-05,2,2,0,0,0,0,3,4,1,0,293.4599874,758.9165551,0.008857585,0.003066592,3.20E-06
KATNAL2,2.00E-05,2,3,4,1,0,0,6,22,1,2,329.6114033,588.9444898,0.005055509,0.004823929,5.34E-06
BCL11A,5.27E-05,2,0,1,0,0,0,1,16,3,1,224.1662041,161.4192058,0.016486402,0.0107986,6.35E-05
CACNA2D3,4.37E-05,2,0,0,0,0,0,2,22,4,5,248.9937707,138.200329,0.01272972,0.016866662,7.95E-05
MIB1,3.96E-05,0,7,10,10,0,0,6,11,0,3,0.638454862,134.0518391,0.936729942,0.022352547,8.27E-05
GABRB3,2.17E-05,1,2,1,0,0,1,0,2,0,0,70.60240966,128.5664415,0.06810617,0.02742713,8.91E-05
CTTNBP2,6.14E-05,1,4,1,3,2,0,5,59,10,11,9.847465075,126.9287472,0.458998991,0.032007176,9.23E-05
MLL3,0.000173773,2,0,0,0,0,1,17,82,14,17,221.9719803,125.2657252,0.019782404,0.036173346,9.45E-05
PTEN,1.40E-05,1,1,0,0,0,1,1,4,0,0,78.17063065,122.0037238,0.053429918,0.040054598,9.66E-05
RELN,0.0001378,1,1,2,1,0,2,24,92,24,18,80.49535784,103.8088305,0.042261161,0.04439146,0.000120096
ASXL3,7.94E-05,2,0,2,0,0,0,6,29,9,5,164.9692049,89.63074907,0.026565158,0.049136617,0.00015479
MYO9B,0.000108,1,0,1,0,0,2,11,48,15,14,118.7399499,84.58959232,0.035910723,0.053794426,0.000169202
ETFB,1.65E-05,1,2,1,2,0,0,1,6,4,4,16.4681671,84.53896177,0.320515089,0.058067373,0.000169202
ASH1L,0.0001066,2,1,3,0,0,0,11,36,8,10,121.5984856,76.08818913,0.031430112,0.062574471,0.000198559
TRIO,0.0001425,1,0,1,2,2,2,16,56,14,30,75.78107447,73.40955402,0.058555497,0.066932351,0.000208167
NAA15,2.84E-05,1,1,1,0,0,1,2,6,1,0,64.74019704,72.83360069,0.072980641,0.071009817,0.000209768
MYT1L,5.53E-05,1,1,0,0,0,1,4,20,2,3,45.94022482,71.87637303,0.107931192,0.074865167,0.000215105
NR3C2,3.86E-05,1,1,1,0,0,1,2,4,2,5,56.79191182,63.87072975,0.090616719,0.079075759,0.000251935
APH1A,1.19E-05,1,0,0,0,1,1,0,1,0,3,80.2834268,57.76094651,0.04802393,0.083551969,0.000277555
SETD5,5.43E-05,1,1,1,0,0,1,13,29,17,12,46.52276955,53.6676796,0.103495757,0.088145719,0.000309581
VIL1,3.79E-05,0,2,4,6,4,2,5,31,5,3,15.68692033,52.78474997,0.353220832,0.09254344,0.00031652
CDC42BPB,8.33E-05,1,2,2,0,0,1,6,19,5,6,32.43926816,42.36763529,0.142575562,0.097919557,0.00046277
SPARCL1,2.20E-05,1,1,0,1,0,0,4,10,7,5,15.44310302,39.97217451,0.367084471,0.103321272,0.00050814
BIRC6,0.000157418,1,1,3,0,0,2,11,46,17,11,62.67522149,39.17329587,0.077684253,0.108531514,0.000528423
GALNTL4,3.22E-05,1,1,3,0,0,1,1,12,3,3,61.65713135,38.8471656,0.086285727,0.113499773,0.000537497
WDFY3,0.0001332,1,2,2,1,0,1,6,32,8,11,17.83495902,37.94545532,0.267045562,0.118330116,0.000553509
MTMR12,2.90E-05,1,1,0,1,0,0,2,9,0,2,14.24264485,36.91727216,0.409244989,0.123056596,0.000588738
EP400,0.000163178,1,1,1,8,9,1,8,48,33,19,12.60757488,36.83298409,0.433787689,0.127552957,0.000590873
ZNF774,1.92E-05,0,4,2,4,3,1,2,16,1,1,3.672106359,35.70827704,0.585335116,0.131987824,0.00062023
DPP3,3.99E-05,1,0,3,1,0,1,4,24,12,5,55.85515007,35.05721183,0.094759644,0.136301822,0.000639445
FCRL6,1.58E-05,1,4,3,1,2,0,3,10,1,0,16.60746979,34.61568471,0.311287837,0.140474966,0.000649053
SMURF1,3.65E-05,1,2,0,0,0,0,0,8,1,1,13.05991444,33.87102372,0.425424533,0.144562932,0.000668268
TTLL3,3.67E-05,0,3,1,2,4,2,1,25,7,4,15.94978081,33.38728256,0.342585619,0.148535962,0.000685348
UTP6,2.18E-05,1,2,2,1,0,0,3,4,2,4,15.47547524,32.84783239,0.36383888,0.15241133,0.000710969
CARKD,2.07E-05,1,0,1,5,4,0,5,13,3,4,15.68221407,32.63802029,0.354462622,0.156148696,0.000715773
DNAH10,0.000191867,0,9,14,11,3,1,36,112,29,32,0.484916669,32.55360592,0.939352511,0.159739105,0.000718441
PPM1D,2.32E-05,1,1,1,2,1,0,1,6,2,6,15.23623359,32.40514742,0.377042413,0.163200818,0.000721644
PHF15,4.06E-05,1,2,0,0,0,0,1,9,2,2,12.4610097,32.24612077,0.43696783,0.166543311,0.000727515
S100G,2.12E-06,1,1,0,0,0,0,0,0,0,0,19.5021238,30.10051387,0.191322283,0.17005869,0.000803309
KIAA0182,6.99E-05,0,0,4,1,0,3,17,66,20,19,61.81434916,29.73242189,0.082131246,0.173490631,0.000816653
CSNK1E,2.44E-05,0,0,0,1,0,2,1,3,1,0,18.93191075,29.52846282,0.205768865,0.176820523,0.000826261
KIAA0100,8.80E-05,1,3,6,4,0,0,7,41,14,13,7.334971391,29.14385234,0.474848884,0.180080896,0.000847611
CACNA1D,0.0001008,0,0,1,0,0,3,15,31,9,15,39.53287244,28.2738236,0.129164497,0.18334871,0.000895116
RAB2A,7.59E-06,1,0,0,1,0,0,0,0,0,0,18.28080431,28.21547075,0.238431069,0.186506314,0.000899386
PCOLCE,2.19E-05,1,1,1,1,0,0,1,11,4,2,15.45748161,28.09445667,0.366017997,0.189568777,0.000908994
MYOC,2.06E-05,1,2,5,4,2,0,4,10,5,6,15.69683399,27.95296603,0.351958279,0.192544157,0.000914865
